#{"t_start": 1692615987.8960552, "env_id": "DeepDefragmentation-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,reward,number_movements,number_defragmentation_procedure,number_arrivals,bit_rate_blocking_rate,number_movements_episode,number_defragmentation_procedure_episode,service_blocked_eopisode,number_options,existing_options
-323.555724,945,1717.945136,0.011627906976744186,0.01153925406964764,221.44427620239935,23842,7542,14558,0.02044335125809246,229,70,2,2,3
-233.066032,884,1736.505533,0.0,0.01141304347826087,250.93396814894842,24081,7622,14719,0.0202210383378804,239,80,0,4,5
-335.416416,933,1755.36515,0.01910828025477707,0.01149502554450121,197.58358406876994,24325,7694,14875,0.02036079039252017,244,72,3,1,2
-434.770391,1004,1773.192796,0.01818181818181818,0.011569148936170212,169.22960913990426,24561,7774,15039,0.020460706917423997,236,80,3,2,3
-197.173938,858,1792.085742,0.0,0.011479844296364715,260.8260620984504,24844,7839,15156,0.02032070074623281,283,65,0,7,8
-423.46725,1084,1809.542917,0.011363636363636364,0.01147925906600574,260.532750000703,25069,7919,15331,0.02037745473965579,225,80,2,5,6
-322.130298,930,1828.364293,0.013986013986013986,0.011503166602042135,207.86970221683075,25327,7986,15473,0.0204516911754,258,67,2,3,4
-407.721246,1012,1846.134695,0.012658227848101266,0.011515578018041072,204.27875410886531,25570,8056,15630,0.020436188670914044,243,70,2,1,2
-413.67854,1017,1864.800293,0.045454545454545456,0.01189421738580286,203.32145994220178,25795,8121,15805,0.021064478168953675,225,65,8,4,5
-355.877573,964,1883.761453,0.012738853503184714,0.011903270266883849,208.1224265951541,26039,8190,15961,0.021112670520056873,244,69,2,0,1
-342.545174,946,1902.947174,0.02,0.011979392961330769,203.45482632474517,26290,8252,16110,0.021304919845110636,251,62,3,0,1
-291.971204,954,1921.708246,0.013793103448275862,0.011996308828052906,262.02879573144537,26546,8306,16254,0.021369027332723802,256,54,2,1,2
-402.879687,988,1938.913752,0.010309278350515464,0.011977140077821012,185.1203125747623,26753,8386,16447,0.02138696369085526,207,80,2,4,5
-289.789178,890,1956.872829,0.014084507042253521,0.011995900898185545,200.21082209112805,27012,8451,16588,0.021473451393105948,259,65,2,2,3
-248.737766,830,1976.125344,0.013422818791946308,0.012009320666786163,181.26223404910988,27264,8520,16736,0.021530944003585153,252,69,2,2,3
-302.897212,919,1995.15126,0.01910828025477707,0.012076007813887409,216.10278815862776,27508,8583,16892,0.021631330844387366,244,63,3,2,3
-236.967625,910,2012.566609,0.0,0.011951491007088874,273.03237538064604,27732,8672,17068,0.02141694902980914,224,89,0,0,1
-324.303682,982,2030.793391,0.0,0.011841188762479684,257.69631831301103,27973,8749,17227,0.021219668869803348,241,77,0,3,4
-279.042945,935,2049.083347,0.0,0.011723464168725935,255.95705501620952,28200,8820,17400,0.021009535258846204,227,71,0,6,7
-413.62725,1024,2066.983691,0.01092896174863388,0.011715861912074162,210.37275009165617,28418,8900,17582,0.020972348375730344,218,80,2,0,1
-328.943042,991,2085.436547,0.005847953216374269,0.011660001126570157,262.05695824670164,28648,8975,17752,0.02089172861644527,230,75,1,1,2
-260.371621,913,2103.338523,0.0111731843575419,0.011655791645753165,252.6283790215533,28870,9047,17930,0.020864375423168397,222,72,2,7,8
-265.826716,937,2121.231101,0.0,0.011539310954063605,271.17328395839985,29089,9126,18111,0.02067227752040374,219,79,0,6,7
-124.174942,793,2139.142303,0.0,0.011435137057503967,268.82505765804547,29324,9201,18276,0.020496032697200395,235,75,0,3,4
-83.676959,685,2158.562078,0.0,0.01135746114552766,201.32304075210897,29599,9271,18401,0.02036217870749217,275,70,0,3,4
