#{"t_start": 1684749188.9880404, "env_id": "DeepDefragmentation-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,reward,number_movements,number_defragmentation_procedure,number_arrivals,bit_rate_blocking_rate,number_movements_episode,number_defragmentation_procedure_episode,service_blocked_eopisode,number_options,existing_options
-181.574244,780,4948.226543,0.0,0.009494715984147953,198.42575632978577,47489,9116,12111,0.016240789848077156,322,51,0,14,11
-164.333714,754,4981.728645,0.0,0.009438608010505582,189.6662859845071,47817,9174,12183,0.01615055939077506,328,58,0,20,11
-178.992126,765,5016.324293,0.013513513513513514,0.009463979766663947,186.00787353131616,48144,9235,12256,0.016138691721450462,327,61,1,11,11
-304.587529,853,5046.978943,0.0,0.009401847949424542,148.4124713408128,48463,9302,12337,0.01603231297796599,319,67,0,0,1
-191.606484,759,5079.197824,0.0,0.009343536045106725,167.3935160072599,48786,9360,12414,0.015937427208866112,323,58,0,2,3
-372.13041,962,5110.157511,0.0,0.009274806108579196,189.8695904564634,49094,9429,12506,0.01582237972788025,308,69,0,10,11
-358.431587,969,5141.522783,0.0,0.009208541716281654,210.5684130672281,49404,9487,12596,0.015712909718288783,310,58,0,8,9
-277.464974,850,5174.253515,0.02197802197802198,0.00930085914715851,172.53502554801918,49714,9553,12686,0.015800787640309545,310,66,2,3,4
-73.244186,653,5208.054911,0.0,0.0092534504391468,179.75581441270458,50049,9608,12751,0.015726630001387402,335,55,0,12,11
-243.899775,806,5239.787065,0.0,0.009202932459834659,162.10022460990606,50379,9662,12821,0.015648676560289804,330,54,0,5,6
-178.82703,730,5271.896403,0.0,0.009151543353497752,151.1729695572191,50707,9721,12893,0.01556387892605976,328,59,0,4,5
-224.067181,806,5303.894691,0.0,0.009091609523075738,181.93281900090992,51022,9778,12978,0.015466206945136668,315,57,0,8,9
-100.894258,717,5337.422184,0.02702702702702703,0.009193993257738278,216.10574248638736,51349,9838,13051,0.015581585706169946,327,60,2,3,4
-178.213582,790,5368.865368,0.0,0.009122700319294512,211.78641777978245,51647,9912,13153,0.015478136432373541,298,74,0,12,11
-258.125722,862,5400.219925,0.0,0.009071666162685213,203.87427837616653,51973,9972,13227,0.015400527119850722,326,60,0,6,7
-275.558502,852,5432.701114,0.012658227848101266,0.009093641966030363,176.4414984241151,52295,10033,13305,0.015463707548464486,322,61,1,6,7
-57.884618,633,5466.932774,0.013333333333333334,0.009118086696562033,175.11538165326567,52621,10089,13379,0.015543219791752334,326,56,1,4,5
-288.26233,869,5498.100276,0.0,0.009049102507046432,180.737670167126,52919,10162,13481,0.015425463574232212,298,73,0,3,4
-314.910488,864,5529.429643,0.0,0.008993070912575557,149.08951198741045,53235,10231,13565,0.015318383883353803,316,69,0,4,5
-380.111297,979,5559.302261,0.0,0.008914870295944465,198.88870329397997,53516,10300,13684,0.015181207893766903,281,69,0,4,5
-76.044408,713,5592.838583,0.013513513513513514,0.008940252943741823,236.95559187377359,53843,10358,13757,0.015250538833261157,327,58,1,9,10
-224.488859,817,5626.139723,0.03125,0.009095502779181405,192.51114118504313,54148,10429,13852,0.015452365142045961,305,71,3,19,11
-177.355738,731,5659.4929,0.0,0.009053024859893663,153.64426211164186,54483,10483,13917,0.015386936075408841,335,54,0,6,7
-228.863502,820,5690.54244,0.0,0.008996144509495931,191.1364984928132,54795,10548,14005,0.015296145784671608,312,65,0,7,8
-228.137631,867,5720.850536,0.0,0.008946957324433714,238.86236879280546,55118,10609,14082,0.01521779202924209,323,61,0,9,10
-6.911781,630,5754.333294,0.0,0.00890270614004098,223.0882189190798,55448,10669,14152,0.01514699845664367,330,60,0,5,6
